dt_created,dt_updated,dt_filename,advertiser_id,country_name,insertion_order_name,insertion_order_id,unique_reach_total_reach,unique_reach_click_reach,unique_reach_impression_reach,impressions,unique_reach_average_impression_frequency,fetch_date
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018733748,483541,8649,483541,1701251,3.52,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018746371,189830,3363,189830,558408,2.94,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018399780,4797627,31213,4796396,7017645,1.46,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017779427,2030973,49076,2030911,7170567,3.53,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018102696,617937,3722,617933,1080194,1.75,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018687241,475691,9461,475654,1603292,3.37,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018703630,1419818,591,1419818,6418480,4.52,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018682427,931616,22343,931616,3651014,3.92,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018682457,725253,18528,725253,2665625,3.68,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018755405,638774,3795,638566,2061583,3.23,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018746171,103306,,103306,182051,1.76,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1019108188,764979,250,764979,2046219,2.67,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018102237,293522,2980,293519,517462,1.76,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1019129905,773250,8476,772354,2450185,3.17,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018763678,120028,588,119997,441129,3.68,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1019133976,281619,2314,281475,804363,2.86,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1019111029,597147,310,597147,2284452,3.83,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017951846,644397,16757,644397,3177181,4.93,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018682424,132629,3097,132629,463198,3.49,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017941969,598675,9562,598646,2151484,3.59,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018693542,900760,346,900760,3111078,3.45,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017742994,687665,5190,687627,1292940,1.88,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018293922,721262,20747,721262,3944612,5.47,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017743003,1741342,19670,1740994,4154230,2.39,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017941189,2310163,99945,2309975,14724996,6.37,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018682451,492888,8664,491500,1697757,3.45,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017953463,953116,44474,953109,5673061,5.95,27-11-2024
